Date,Orders,CPI,UR,LTIR,TIV
01/01/2006 00:00,1124,0.8072654,8.3,3.28,20178
01/02/2006 00:00,1079,0.9018036,8,3.44,12846
01/03/2006 00:00,1210,0.8991009,7.7,3.62,15165
01/04/2006 00:00,1147,1.297405,7.7,3.88,13474
01/05/2006 00:00,1001,1.701702,7.9,3.94,16516
01/06/2006 00:00,1087,1.7,7.7,4.02,16434
01/07/2006 00:00,728,1.907631,7.6,4.06,11667
01/08/2006 00:00,605,1.9,7.7,3.94,12309
01/09/2006 00:00,1081,1.492537,7.6,3.8,12934
01/10/2006 00:00,786,1.89243,7.7,3.84,12435
01/11/2006 00:00,689,2.095808,7.3,3.75,10273
01/12/2006 00:00,715,2.195609,7.1,3.82,6768
01/01/2007 00:00,998,2.302302,7.2,4.05,18852
01/02/2007 00:00,638,2.184707,7.2,4.08,11852
01/03/2007 00:00,649,2.574257,7.1,3.98,14387
01/04/2007 00:00,753,2.561576,6.5,4.2,13761
01/05/2007 00:00,856,2.362205,6.6,4.33,14922
01/06/2007 00:00,825,2.45821,6.9,4.62,13276
01/07/2007 00:00,685,2.561576,6.8,4.59,11555
01/08/2007 00:00,755,2.257115,6.8,4.39,12343
01/09/2007 00:00,755,2.647059,7.1,4.34,11169
01/10/2007 00:00,640,2.639296,6.6,4.38,12610
01/11/2007 00:00,130,2.932551,6.7,4.22,4846
01/12/2007 00:00,155,2.636719,6.6,4.34,2999
01/01/2008 00:00,900,3.913894,6.5,4.14,23532
01/02/2008 00:00,609,3.692906,6.1,4.06,13440
01/03/2008 00:00,765,3.861004,6.4,4,13995
01/04/2008 00:00,638,3.554275,5.7,4.22,17053
01/05/2008 00:00,799,4.230769,6.4,4.47,15775
01/06/2008 00:00,666,4.414587,6.4,4.78,13442
01/07/2008 00:00,574,4.322767,6.1,4.77,12225
01/08/2008 00:00,443,4.702495,6.4,4.47,10668
01/09/2008 00:00,489,4.680038,6.7,4.43,11082
01/10/2008 00:00,527,4.380952,6.3,4.33,11357
01/11/2008 00:00,235,3.608737,6.7,4.09,7395
01/12/2008 00:00,122,3.425309,6.7,3.72,5397
01/01/2009 00:00,508,2.165725,7,3.87,12842
01/02/2009 00:00,311,1.780694,7.4,3.93,8011
01/03/2009 00:00,629,0.929368,7.7,3.81,12286
01/04/2009 00:00,294,0.742115,8.3,3.78,7886
01/05/2009 00:00,306,0,8.7,3.91,7801
01/06/2009 00:00,338,-0.09191176,8.7,3.98,8502
01/07/2009 00:00,319,-0.5524862,8.5,3.77,7339
01/08/2009 00:00,367,-0.7332723,8.8,3.63,6637
01/09/2009 00:00,422,-1.00365,8.4,3.62,8235
01/10/2009 00:00,352,-1.551095,9.2,3.57,8298
01/11/2009 00:00,274,-1.008249,9.5,3.53,6809
01/12/2009 00:00,178,-0.5519779,8.5,3.46,4653
01/01/2010 00:00,711,-0.1843318,9.5,3.49,13258
01/02/2010 00:00,519,0.04681423,8.9,3.38,8247
01/03/2010 00:00,647,0.6222601,8.5,3.26,9950
01/04/2010 00:00,524,0.9554129,8.6,3.36,11221
01/05/2010 00:00,608,1.010193,8.3,3.03,11793
01/06/2010 00:00,662,0.8322789,8.7,2.92,13308
01/07/2010 00:00,468,0.7955108,8.7,2.85,7931
01/08/2010 00:00,532,1.022474,8.5,2.62,9475
01/09/2010 00:00,561,1.392024,8.1,2.58,10751
