frozenset({'Androutsopoulos Ion', 'Pavlopoulos John'}) 13
frozenset({'Xu Wei', 'Ritter Alan'}) 19
frozenset({'Sumita Eiichiro', 'Utiyama Masao'}) 90
frozenset({'Watanabe Taro', 'Sumita Eiichiro'}) 26
frozenset({'Solorio Thamar', 'Aguilar Gustavo'}) 10
frozenset({'Zhang Wenxuan', 'Lam Wai'}) 10
frozenset({'Chersoni Emmanuele', 'Santus Enrico'}) 19
frozenset({'Rezagholizadeh Mehdi', 'Rashid Ahmad'}) 10
frozenset({"Seddah Djam{\\'e}", 'Sagot Beno{\\^\\i}t'}) 15
frozenset({'Chatterjee Rajen', 'Federmann Christian'}) 12
frozenset({'Chatterjee Rajen', 'Graham Yvette'}) 10
frozenset({'Chatterjee Rajen', 'Haddow Barry'}) 11
frozenset({'Chatterjee Rajen', 'Huck Matthias'}) 11
frozenset({'Chatterjee Rajen', 'Koehn Philipp'}) 11
frozenset({'Chatterjee Rajen', 'Monz Christof'}) 10
frozenset({'Federmann Christian', 'Graham Yvette'}) 12
frozenset({'Federmann Christian', 'Haddow Barry'}) 17
frozenset({'Federmann Christian', 'Huck Matthias'}) 12
frozenset({'Federmann Christian', 'Koehn Philipp'}) 16
frozenset({'Monz Christof', 'Federmann Christian'}) 14
frozenset({'Fraser Alexer', 'Huck Matthias'}) 12
frozenset({'Huck Matthias', 'Freitag Markus'}) 17
frozenset({'Graham Yvette', 'Haddow Barry'}) 13
frozenset({'Graham Yvette', 'Huck Matthias'}) 10
frozenset({'Graham Yvette', 'Koehn Philipp'}) 12
frozenset({'Monz Christof', 'Graham Yvette'}) 10
frozenset({'Haddow Barry', 'Huck Matthias'}) 17
frozenset({'Haddow Barry', 'Koehn Philipp'}) 36
frozenset({'Monz Christof', 'Haddow Barry'}) 15
frozenset({'Koehn Philipp', 'Huck Matthias'}) 21
frozenset({'Monz Christof', 'Huck Matthias'}) 10
frozenset({'Monz Christof', 'Koehn Philipp'}) 31
frozenset({'Chatterjee Rajen', 'Bojar Ond{\\v{r}}ej'}) 10
frozenset({'Federmann Christian', 'Bojar Ond{\\v{r}}ej'}) 15
frozenset({'Graham Yvette', 'Bojar Ond{\\v{r}}ej'}) 14
frozenset({'Haddow Barry', 'Bojar Ond{\\v{r}}ej'}) 21
frozenset({'Huck Matthias', 'Bojar Ond{\\v{r}}ej'}) 14
frozenset({'Kocmi Tom', 'Bojar Ond{\\v{r}}ej'}) 13
frozenset({'Koehn Philipp', 'Bojar Ond{\\v{r}}ej'}) 16
frozenset({'Monz Christof', 'Bojar Ond{\\v{r}}ej'}) 13
frozenset({'Chatterjee Rajen', 'Negri Matteo'}) 21
frozenset({'Chatterjee Rajen', 'Turchi Marco'}) 21
frozenset({'Federmann Christian', 'Negri Matteo'}) 10
frozenset({'Federmann Christian', 'Turchi Marco'}) 10
frozenset({'Heafield Kenneth', 'Grundkiewicz Roman'}) 12
frozenset({'Koehn Philipp', 'Knight Kevin'}) 11
frozenset({'Nagata Masaaki', 'Morishita Makoto'}) 10
frozenset({'Turchi Marco', 'Negri Matteo'}) 73
frozenset({'Zampieri Marcos', 'Pal Santanu'}) 10
frozenset({'Chaudhary Vishrav', "Guzm{\\'a}n Francisco"}) 17
frozenset({'Bogoychev Nikolay', 'Heafield Kenneth'}) 12
frozenset({'Erdmann Grant', 'Gwinnup Jeremy'}) 14
frozenset({'Gwinnup Jeremy', 'Anderson Tim'}) 10
frozenset({'Escolano Carlos', "Fonollosa Jos{\\'e} A. R."}) 10
frozenset({'Popel Martin', 'Bojar Ond{\\v{r}}ej'}) 13
frozenset({'Li Zuchao', 'Zhao Hai'}) 19
frozenset({'Zhao Hai', 'Utiyama Masao'}) 14
frozenset({'Sumita Eiichiro', 'Zhao Hai'}) 12
frozenset({'Li Lei', 'Wang Mingxuan'}) 24
frozenset({'Li Lei', 'Zhou Hao'}) 19
frozenset({'Wang Longyue', 'Shi Shuming'}) 11
frozenset({'Wang Longyue', 'Tu Zhaopeng'}) 24
frozenset({'Wang Longyue', 'Wang Xing'}) 10
frozenset({'Shi Shuming', 'Tu Zhaopeng'}) 22
frozenset({'Shi Shuming', 'Wang Xing'}) 13
frozenset({'Wang Xing', 'Tu Zhaopeng'}) 19
frozenset({'Wei Daimeng', 'Shang Hengchao'}) 10
frozenset({'Wei Daimeng', 'Wang Minghan'}) 10
frozenset({'Wei Daimeng', 'Lei Lizhi'}) 10
frozenset({'Yang Hao', 'Wei Daimeng'}) 11
frozenset({'Qin Ying', 'Wei Daimeng'}) 10
frozenset({'Shang Hengchao', 'Wang Minghan'}) 10
frozenset({'Lei Lizhi', 'Shang Hengchao'}) 10
frozenset({'Yang Hao', 'Shang Hengchao'}) 11
frozenset({'Qin Ying', 'Shang Hengchao'}) 10
frozenset({'Yang Hao', 'Guo Jiaxin'}) 10
frozenset({'Yang Hao', 'Wang Minghan'}) 15
frozenset({'Qin Ying', 'Wang Minghan'}) 11
frozenset({'Yang Hao', 'Lei Lizhi'}) 10
frozenset({'Qin Ying', 'Lei Lizhi'}) 10
frozenset({'Yang Hao', 'Qin Ying'}) 12
frozenset({'Xu Jinan', 'Meng Fong'}) 11
frozenset({'Zhou Jie', 'Meng Fong'}) 35
frozenset({'Li Peng', 'Zhou Jie'}) 29
frozenset({'Xu Jinan', 'Zhou Jie'}) 11
frozenset({'Xiao Tong', 'Li Bei'}) 10
frozenset({'Li Bei', 'Zhu Jingbo'}) 10
frozenset({'Xiao Tong', 'Zhu Jingbo'}) 39
