Macrotrends Data Download

Finland Inflation Rate 1960-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Inflation Rate (%), Annual Change, 
1960-12-31,3.4181
1961-12-31,1.691,-1.73
1962-12-31,4.384,2.69
1963-12-31,4.9964,0.61
1964-12-31,10.2759,5.28
1965-12-31,4.9406,-5.34
1966-12-31,3.8737,-1.07
1967-12-31,5.3778,1.5
1968-12-31,9.1917,3.81
1969-12-31,2.2056,-6.99
1970-12-31,2.7404,0.53
1971-12-31,6.4758,3.74
1972-12-31,6.6625,0.19
1973-12-31,10.7545,4.09
1974-12-31,16.9364,6.18
1975-12-31,17.8114,0.88
1976-12-31,14.3427,-3.47
1977-12-31,11.7933,-2.55
1978-12-31,7.7994,-3.99
1979-12-31,7.467,-0.33
1980-12-31,11.5946,4.13
1981-12-31,11.3058,-0.29
1982-12-31,9.5849,-1.72
1983-12-31,8.3663,-1.22
1984-12-31,7.0677,-1.3
1985-12-31,5.1956,-1.87
1986-12-31,2.9336,-2.26
1987-12-31,4.113,1.18
1988-12-31,5.0859,0.97
1989-12-31,6.5929,1.51
1990-12-31,6.1496,-0.44
1991-12-31,4.3102,-1.84
1992-12-31,2.9193,-1.39
1993-12-31,2.1907,-0.73
1994-12-31,1.0886,-1.1
1995-12-31,0.7912,-0.3
1996-12-31,0.6292,-0.16
1997-12-31,1.1926,0.56
1998-12-31,1.3995,0.21
1999-12-31,1.1622,-0.24
2000-12-31,3.0421,1.88
2001-12-31,2.5784,-0.46
2002-12-31,1.5712,-1.01
2003-12-31,0.8774,-0.69
2004-12-31,0.1871,-0.69
2005-12-31,0.6239,0.44
2006-12-31,1.5667,0.94
2007-12-31,2.5107,0.94
2008-12-31,4.066,1.56
2009-12-31,0,-4.07
2010-12-31,1.1841,1.18
2011-12-31,3.4168,2.23
2012-12-31,2.8083,-0.61
2013-12-31,1.4783,-1.33
2014-12-31,1.0412,-0.44
2015-12-31,-0.2079,-1.25
2016-12-31,0.3567,0.56
2017-12-31,0.754,0.4
2018-12-31,1.0838,0.33
2019-12-31,1.0241,-0.06
2020-12-31,0.2906,-0.73
2021-12-31,2.1946,1.9
